INN	Position_384	Num_plaque384	TEE
Althiazide	1	J10	PRC_0154
Quinidine	1	J11	PRC_0205
Indoprofen	1	J12	PRC_0155
Bumetanide	1	J13	PRC_0206
Guanabenz Acetate	1	J14	PRC_0156
Deferiprone	1	J15	PRC_0207
Paromomycin Sulfate	1	J16	PRC_0157
Adenine Hydrochloride	1	J17	PRC_0208
Diclofenac Sodium	1	J18	PRC_0158
Benazepril Hydrochloride	1	J19	PRC_0209
Lidocaine Hydrochloride	1	J20	PRC_0159
Barium Sulfate	1	J21	PRC_0210
			
DL-Tryptophan	1	K3	PRC_0051
Oxyphencyclimine Hydrochloride	1	K4	PRC_0131
D-Salicin	1	K5	PRC_0052
Labetalol Hydrochloride	1	K6	PRC_0132
Acetazolamide	1	K7	PRC_0053
6-Acetamidohexanoic Acid	1	K8	PRC_0133
Riboflavin	1	K9	PRC_0054
Sulfinpyrazone	1	K10	PRC_0134
Econazole Nitrate	1	K11	PRC_0055
Sulindac	1	K12	PRC_0135
Dibenzothiophene	1	K13	PRC_0056
Probenecid	1	K14	PRC_0136
Thiamine Hydrochloride	1	K15	PRC_0057
Chlorpheniramine Maleate	1	K16	PRC_0137
Ethosuximide	1	K17	PRC_0058
Tacrine	1	K18	PRC_0138
Triflupromazine Hydrochloride	1	K19	PRC_0059
3-Methyl-3-Ethylglutarimide	1	K20	PRC_0139
Tolmetin Sodium	1	K21	PRC_0060
2-Chloropyrazine	1	K22	PRC_0140
Dihydrostreptomycin Sesquisulfate	1	L3	PRC_0211
			
Benzoic Acid	1	L5	PRC_0212
Azlocillin Sodium	1	L6	PRC_0162
Pentetic Acid	1	L7	PRC_0213
Clidinium Bromide	1	L8	PRC_0163
Sulfaphenazole	1	L9	PRC_0214
Brompheniramine Maleate	1	L10	PRC_0164
Nicotinic Acid	1	L11	PRC_0215
Mefenamic Acid	1	L12	PRC_0165
L-Mimosine From Koa Hoale Seeds	1	L13	PRC_0216
Harmine	1	L14	PRC_0166
Metformin, Hcl	1	L15	PRC_0217
Amodiaquine Dihydrochloride Dihydrate	1	L16	PRC_0167
Dirithromycin	1	L17	PRC_0218
Prilocaine Hydrochloride	1	L18	PRC_0168
Fluspirilene	1	L19	PRC_0219
Lobeline Hydrochloride	1	L20	PRC_0169
Chlormadinone Acetate	1	L21	PRC_0220
Chromium(Iii) Chloride	1	L22	PRC_0170
Sulfamerazine	1	M3	PRC_0061
Maprotiline Hydrochloride	1	M4	PRC_0141
Coumarin	1	M5	PRC_0062
Pipemidic Acid	1	M6	PRC_0142
Dicumarol	1	M7	PRC_0063
Trifluoperazine Dihydrochloride	1	M8	PRC_0143
Prednisone	1	M9	PRC_0064
Spiperone	1	M10	PRC_0144
Ketoprofen	1	M11	PRC_0065
Doxepin Hydrochloride	1	M12	PRC_0145
Clemizole Hydrochloride	1	M13	PRC_0066
3-Acetamidocoumarin	1	M14	PRC_0146
Hexetidine,Mixture Of Stereoisomers	1	M15	PRC_0067
Hemicholinium-3	1	M16	PRC_0147
Triamterene	1	M17	PRC_0068
Diflunisal	1	M18	PRC_0148
2-Amino-5-Chlorobenzoxazole	1	M19	PRC_0069
Primidone	1	M20	PRC_0149
Buflomedil Hydrochloride	1	M21	PRC_0070
Loperamide Hydrochloride	1	M22	PRC_0150
Penicillin G Sodium	1	N3	PRC_0221
Fendiline Hydrochloride	1	N4	PRC_0231
Chloroiodoquin	1	N5	PRC_0222
Bufexamac	1	N6	PRC_0232
L-Cystine	1	N7	PRC_0223
2-Hydroxybenzyl Alcohol	1	N8	PRC_0233
Folinic Acid Calcium Pentahydrate	1	N9	PRC_0224
Pyrilamine Maleate	1	N10	PRC_0234
Niflumic Acid	1	N11	PRC_0225
Salicylamide	1	N12	PRC_0235
Dicyclomine Hydrochloride	1	N13	PRC_0226
Nialamide	1	N14	PRC_0236
Terazosin Hydrochloride	1	N15	PRC_0227
Procaine Hydrochloride	1	N16	PRC_0237
Cupric Chloride Solution	1	N17	PRC_0228
Serotonin Hydrogen Oxalate	1	N18	PRC_0238
Butamben	1	N19	PRC_0229
Sulfachloropyridazine	1	N20	PRC_0239
Doxylamine Succinate	1	N21	PRC_0230
			
Hexestrol	2	C3	PRC_0251
D-(+)-Galactose	2	C4	PRC_0331
Isoxsuprine Hydrochloride	2	C5	PRC_0252
L-Methionine Sulfoximine	2	C6	PRC_0332
Nimodipine	2	C7	PRC_0253
Proparacaine Hydrochloride	2	C8	PRC_0333
Ethisterone	2	C9	PRC_0254
Metoclopramide Hydrochloride	2	C10	PRC_0334
Estrone	2	C11	PRC_0255
Hydrocortisone	2	C12	PRC_0335
Nifuroxazide	2	C13	PRC_0256
Estradiol 17-Acetate	2	C14	PRC_0336
Harmol Hydrochloride Dihydrate	2	C15	PRC_0257
Dienestrol	2	C16	PRC_0337
Moroxydine Hydrochloride	2	C17	PRC_0258
Fenbendazole	2	C18	PRC_0338
Hydroxyprogesterone Caproate	2	C19	PRC_0259
L-Carnitine Hydrochloride	2	C20	PRC_0260
Naringenin	2	C21	PRC_0340
Flumethasone Pivalate	2	C22	PRC_0339
Procainamide Hydrochloride	2	D3	PRC_0411
			
(+)-Bicuculline	2	D5	PRC_0412
Sulfamethazine	2	D6	PRC_0242
Danazol	2	D7	PRC_0413
Sulfamethizole	2	D8	PRC_0243
4-Chloro-3,5-Dimethylphenol	2	D9	PRC_0414
Acetylcholine Chloride	2	D10	PRC_0244
Probucol	2	D11	PRC_0415
Sulfacetamide	2	D12	PRC_0245
Diacerein	2	D13	PRC_0416
Aciclovir	2	D14	PRC_0246
(R)-6-Methoxy-Alpha-Methyl-2-Naphthaleneacetic Acid	2	D15	PRC_0417
Methyldopa	2	D16	PRC_0247
Oxeladin Citrate	2	D17	PRC_0418
Benzyl Nicotinate	2	D18	PRC_0248
L-Valine	2	D19	PRC_0419
Ethynodiol Diacetate	2	D20	PRC_0249
Acetaminophen	2	D21	PRC_0420
Sulfabenzamide	2	D22	PRC_0250
Betamethasone 17,21-Dipropionate	2	E3	PRC_0261
Pindione	2	E4	PRC_0341
Streptomycin Sulfate	2	E5	PRC_0262
Carbetapentane Citrate	2	E6	PRC_0342
Pyrazinamide	2	E7	PRC_0263
Oxybutynin Chloride	2	E8	PRC_0343
Sodium Salicylate	2	E9	PRC_0264
Valproic Acid Sodium	2	E10	PRC_0344
Amiloride Hydrochloride Hydrate	2	E11	PRC_0265
Flumequine	2	E12	PRC_0345
Chloroquine Diphosphate	2	E13	PRC_0266
3-Acetylcoumarin	2	E14	PRC_0346
4-Hydroxyantipyrine	2	E15	PRC_0267
Amoxapine	2	E16	PRC_0347
Erythromycin	2	E17	PRC_0268
Indapamide	2	E18	PRC_0348
Spironolactone	2	E19	PRC_0269
Chrysin	2	E20	PRC_0349
Perhexiline Maleate	2	E21	PRC_0270
Mefloquine Hydrochloride	2	E22	PRC_0350
Silver(I) Sulfadiazine	2	F3	PRC_0421
Pirenperone	2	F4	PRC_0311
Beta-Estradiol 17-Valerate	2	F5	PRC_0422
(-)-Scopolamine N-Butyl Bromide	2	F6	PRC_0312
Nalidixic Acid	2	F7	PRC_0423
6-Methylprednisolone	2	F8	PRC_0313
(+/-)-Metoprolol (+)-Tartrate	2	F9	PRC_0424
Digitoxigenin	2	F10	PRC_0314
Corticosterone	2	F11	PRC_0425
Tilorone Dihydrochloride	2	F12	PRC_0315
Ethylenediaminetetrapropionic Acid	2	F13	PRC_0426
Oxethazaine	2	F14	PRC_0316
Nitrofurantoin	2	F15	PRC_0427
Ticlopidine Hydrochloride	2	F16	PRC_0317
Crystal Violet Solution	2	F17	PRC_0428
Hydrocortisone 21-Acetate	2	F18	PRC_0318
Tolbutamide	2	F19	PRC_0429
Clofazimine	2	F20	PRC_0319
Pregnenolone	2	F21	PRC_0430
			
Sulconazole Nitrate	2	G3	PRC_0271
N,N-Diethyl-3-Methylbenzamide	2	G4	PRC_0351
Chloramphenicol	2	G5	PRC_0272
Thip Hydrochloride	2	G6	PRC_0352
Boric Acid	2	G7	PRC_0273
Clofibrate	2	G8	PRC_0353
Quinacrine Dihydrochloride	2	G9	PRC_0274
Nabumetone	2	G10	PRC_0354
Tripelennamine Hydrochloride	2	G11	PRC_0275
Succinylcholine Chloride Dihydrate	2	G12	PRC_0355
L-Cysteine Hydrochloride	2	G13	PRC_0276
(Dl)-Octopamine Hydrochloride	2	G14	PRC_0356
			
			
Clofibric Acid	2	G17	PRC_0278
Ciprofloxacin	2	G18	PRC_0358
Dl-Panthenol	2	G19	PRC_0279
Gliclazide	2	G20	PRC_0359
Fipexide Hydrochloride	2	G21	PRC_0280
Haloperidol	2	G22	PRC_0360
Decamethonium Bromide	2	H3	PRC_0431
			
Phenelzine Sulfate	2	H5	PRC_0432
Betahistine Dihydrochloride	2	H6	PRC_0322
6-Aminohexanoic Acid	2	H7	PRC_0433
Phenytoin	2	H8	PRC_0323
Alaproclate Hydrochloride	2	H9	PRC_0434
Prochlorperazine Dimaleate	2	H10	PRC_0324
6,7-Dihydroxycoumarin	2	H11	PRC_0435
Sulfaguanidine	2	H12	PRC_0325
Urea	2	H13	PRC_0436
Metacycline Hydrochloride	2	H14	PRC_0326
			
2-Phenylethanol	2	H16	PRC_0327
Glyceryl Triacetate	2	H17	PRC_0438
Tramadol Hydrochloride	2	H18	PRC_0328
Medroxyprogesterone 17-Acetate	2	H19	PRC_0439
Suxibuzone	2	H20	PRC_0329
Sodium Arsenite Solution	2	H21	PRC_0440
Fluorometholone	2	H22	PRC_0330
S-(-)-Eticlopride Hydrochloride	2	I3	PRC_0281
Chloropyramine Hydrochloride	2	I4	PRC_0361
Aluminum Hydroxide	2	I5	PRC_0282
Flunisolide	2	I6	PRC_0362
Nitrendipine	2	I7	PRC_0283
Nylidrin Hydrochloride	2	I8	PRC_0363
			
			
Cefaclor	2	I11	PRC_0285
Dithranol	2	I12	PRC_0365
Esculin Hydrate	2	I13	PRC_0286
Diperodon Hydrochloride	2	I14	PRC_0366
Yohimbinic Acid Monohydrate	2	I15	PRC_0287
Enoxolone	2	I16	PRC_0367
Pindolol	2	I17	PRC_0288
Megestrol Acetate	2	I18	PRC_0368
Nadolol	2	I19	PRC_0289
Melatonin	2	I20	PRC_0290
Isoproterenol Hydrochloride	2	I21	PRC_0370
Urapidil Hydrochloride	2	I22	PRC_0369
Adrenosterone	2	J3	PRC_0441
Trigonelline Hydrochloride	2	J4	PRC_0391
Phenyltoloxamine Citrate	2	J5	PRC_0442
Flupenthixol Dihydrochloride	2	J6	PRC_0392
Bupropion Hydrochloride	2	J7	PRC_0443
Thioridazine Hydrochloride	2	J8	PRC_0393
			
4-Dimethylaminoantipyrine	2	J10	PRC_0394
Memantine	2	J11	PRC_0445
Trolox	2	J12	PRC_0395
Triamcinolone Acetonide	2	J13	PRC_0446
4-Aminomethylbenzenesulfonamide Hydrochloride	2	J14	PRC_0396
L-Pyroglutamic Acid	2	J15	PRC_0447
L-Ascorbic Acid	2	J16	PRC_0397
Prednisolone 21-Acetate	2	J17	PRC_0448
Canrenoic Acid Potassium	2	J18	PRC_0398
Morantel Tartrate Hydrate	2	J19	PRC_0449
Harmalol Hydrochloride Dihydrate	2	J20	PRC_0399
4-Chloro-3-Methylphenol	2	J21	PRC_0450
			
Kanamycin B Sulfate	2	K3	PRC_0291
Pinacidil	2	K4	PRC_0371
Isoxicam	2	K5	PRC_0292
Loxapine Succinate	2	K6	PRC_0372
Lactic Acid	2	K7	PRC_0293
Timolol Maleate	2	K8	PRC_0373
Salbutamol Hemisulfate	2	K9	PRC_0294
Protriptyline Hydrochloride	2	K10	PRC_0374
Isoniazid	2	K11	PRC_0295
(+)-Tocopherol	2	K12	PRC_0375
Diprophylline	2	K13	PRC_0296
Cysteine Methyl Ester Hydrochloride	2	K14	PRC_0376
4-(Benzyloxy)Phenol	2	K15	PRC_0297
Betamethasone 21-Phosphate Disodium	2	K16	PRC_0377
Phenacetin	2	K17	PRC_0298
Pramoxine Hydrochloride	2	K18	PRC_0378
Allopurinol	2	K19	PRC_0299
Ketotifen Fumarate	2	K20	PRC_0379
Piracetam	2	K21	PRC_0300
Hydrochlorothiazide	2	K22	PRC_0380
8-Ethoxy-5-Quinolinesulfonic Acid	2	L3	PRC_0451
			
Prazosin Hydrochloride	2	L5	PRC_0452
Methylergonovine Maleate	2	L6	PRC_0402
Doxycycline Hyclate	2	L7	PRC_0453
Oxybenzone	2	L8	PRC_0403
Eucalyptol	2	L9	PRC_0454
Rifamycin Sv Sodium	2	L10	PRC_0404
Domiphen Bromide	2	L11	PRC_0455
Sucrose	2	L12	PRC_0405
Bamethane Hemisulfate	2	L13	PRC_0456
Salicylic Acid	2	L14	PRC_0406
N-Acetyl-L-Methionine	2	L15	PRC_0457
D-Mannitol	2	L16	PRC_0407
Progesterone	2	L17	PRC_0458
Dexamethasone	2	L18	PRC_0408
Thalidomide	2	L19	PRC_0459
L-Threonine	2	L20	PRC_0409
Antazoline Phosphate	2	L21	PRC_0460
Doxazosin Mesylate	2	L22	PRC_0410
Cefadroxil	2	M3	PRC_0301
Zimelidine Dihydrochloride	2	M4	PRC_0381
4-Aminophenyl Sulfone	2	M5	PRC_0302
Pheniramine Maleate	2	M6	PRC_0382
Azelaic Acid	2	M7	PRC_0303
Enrofloxacin	2	M8	PRC_0383
Phthalylsulfacetamide	2	M9	PRC_0304
Antipyrine	2	M10	PRC_0384
S-Carbidopa	2	M11	PRC_0305
Vanillic Acid Diethylamide	2	M12	PRC_0385
(S)-(+)-Ibuprofen	2	M13	PRC_0306
Guaiacol Glyceryl Ether Carbamate	2	M14	PRC_0386
Pamoic Acid	2	M15	PRC_0307
Glafenine	2	M16	PRC_0387
Fludrocortisone Acetate	2	M17	PRC_0308
Scopoletin	2	M18	PRC_0388
Hydroquinonesulfonic Acid Potassium	2	M19	PRC_0309
Mepivacaine Hydrochloride	2	M20	PRC_0389
Rimantadine	2	M21	PRC_0310
Myricetin	2	M22	PRC_0390
Levodopa	2	N3	PRC_0461
S-Atenolol	2	N4	PRC_0471
Naphazoline Hydrochloride	2	N5	PRC_0462
Dexchlorpheniramine Maleate	2	N6	PRC_0472
Acetarsone	2	N7	PRC_0463
D-Sorbitol	2	N8	PRC_0473
Urethane	2	N9	PRC_0464
Meloxicam Sodium	2	N10	PRC_0474
Diflorasone Diacetate	2	N11	PRC_0465
L-Tyrosine	2	N12	PRC_0475
Resorcinol	2	N13	PRC_0466
Adenosine 5-Monophosphate Disodium	2	N14	PRC_0476
Menthol	2	N15	PRC_0467
4-Hexylresorcinol	2	N16	PRC_0477
Eugenol	2	N17	PRC_0468
Prednisolone	2	N18	PRC_0478
Budesonide	2	N19	PRC_0469
Clozapine	2	N20	PRC_0479
Menadione (K3)	2	N21	PRC_0470
			
Pempidine	3	C3	PRC_0891
Proadifen Hydrochloride	3	C4	PRC_1051
17-Ethynylestradiol	3	C5	PRC_0892
Metergoline	3	C6	PRC_1052
Nortriptyline Hydrochloride	3	C7	PRC_0893
Hycanthone	3	C8	PRC_1053
Atenolol	3	C9	PRC_0894
Butacaine	3	C10	PRC_1054
Ofloxacin	3	C11	PRC_0895
Deferoxamine Mesylate	3	C12	PRC_1055
Sarafloxacin Hcl	3	C13	PRC_0896
Meso-2,3-Dimercaptosuccinic Acid	3	C14	PRC_1056
Ethylenediaminetetraacetic Acid Ferric Sodium	3	C15	PRC_0920
Apigenin	3	C16	PRC_1057
L-Methionine	3	C17	PRC_0898
Retinol	3	C18	PRC_1058
Reserpine	3	C19	PRC_0899
Benzyl 4-Hydroxybenzoate	3	C20	PRC_0900
Estrone 3-Sulfate Potassium	3	C21	PRC_1060
Pentylenetetrazole	3	C22	PRC_1059
Adenosine 5'-Monophosphate	3	D3	PRC_0491
			
Dl-Carnitine Hydrochloride	3	D5	PRC_0492
2,4-Dichlorobenzyl Alcohol	3	D6	PRC_0882
Dl-Arginine Hydrochloride	3	D7	PRC_0493
Dexamethasone 21-Acetate	3	D8	PRC_0883
L-Citrulline	3	D9	PRC_0494
Arecoline Hydrobromide	3	D10	PRC_0884
Uracil	3	D11	PRC_0495
Domperidone	3	D12	PRC_0960
Carbachol	3	D13	PRC_0496
Niclosamide	3	D14	PRC_0886
L-Isoleucine	3	D15	PRC_0497
Cinnarizine	3	D16	PRC_0887
Benzocaine	3	D17	PRC_0498
Flurbiprofen	3	D18	PRC_0888
Cimetidine	3	D19	PRC_0499
Artemisinin	3	D20	PRC_0889
Digoxin	3	D21	PRC_0500
Sulfadiazine	3	D22	PRC_0890
Phenformin Hydrochloride	3	E3	PRC_0901
Alendronate Sodium Trihydrate	3	E4	PRC_1061
10-Undecenoic Acid	3	E5	PRC_0902
Cytidine 5-Diphosphocholine Sodium Dihydrate	3	E6	PRC_1062
Methylbenzethonium Chloride	3	E7	PRC_0903
Ergocryptine	3	E8	PRC_1063
Acetylsalicylic Acid	3	E9	PRC_0904
Griseofulvin	3	E10	PRC_1064
Citric Acid	3	E11	PRC_0905
Trimethylcolchicinic Acid	3	E12	PRC_1065
R(+)-Atenolol	3	E13	PRC_0906
Pargyline Hydrochloride	3	E14	PRC_1066
Fenchone	3	E15	PRC_0897
-3,4-Dihydroxynorephedrine	3	E16	PRC_1067
Sodium 2-Mercaptoethanesulfonate	3	E17	PRC_0908
(6R)-5,6,7,8-Tetrahydrobiopterin Dihydrochloride	3	E18	PRC_1068
Chlorogenic Acid	3	E19	PRC_0909
Pyridoxal 5'-Phosphate Hydrate	3	E20	PRC_1069
Thiabendazole	3	E21	PRC_0910
(±)-Quinpirole Dihydrochloride	3	E22	PRC_1070
Kaempferol	3	F3	PRC_0501
Naftazone	3	F4	PRC_0951
Fulvestrant	3	F5	PRC_0502
Anetholtrithion	3	F6	PRC_0952
Cefoperazone	3	F7	PRC_0503
Alminoprofen	3	F8	PRC_0953
Estriol	3	F9	PRC_0504
Celiprolol	3	F10	PRC_0954
Cortisone	3	F11	PRC_0505
Tetrazepam	3	F12	PRC_0955
Dl-Homocysteine	3	F13	PRC_0506
Pristinamycine 1A	3	F14	PRC_0956
Acetyl-Dl-Arginine Dihydrate	3	F15	PRC_0507
Tiaprofenic Acid	3	F16	PRC_0957
Sorafenib	3	F17	PRC_0508
Pantoprazole	3	F18	PRC_0958
Dl-Norvaline	3	F19	PRC_0509
Pinaverium	3	F20	PRC_0959
Creatine Monohydrate	3	F21	PRC_0510
			
Tranexamic Acid	3	G3	PRC_0911
N-Acetyl-D-Glucosamine	3	G4	PRC_1071
Flubendazole	3	G5	PRC_0907
Josamycin	3	G6	PRC_1072
Dopamine Hydrochloride	3	G7	PRC_0885
Ebselen	3	G8	PRC_1073
Methoxyverapamil Hydrochloride	3	G9	PRC_0914
Parthenolide	3	G10	PRC_1074
Aniracetam	3	G11	PRC_0915
Oxaceprol	3	G12	PRC_1075
Dizocilpine Maleate	3	G13	PRC_0916
Sulmazole	3	G14	PRC_1076
			
			
Indomethacin	3	G17	PRC_0918
Metopimazine	3	G18	PRC_1078
Cortisone 21-Acetate	3	G19	PRC_0919
Proguanil	3	G20	PRC_1079
Ethopropazine Hydrochloride	3	G21	PRC_0924
Flecainide	3	G22	PRC_1080
Sibutramine Hydrochloride	3	H3	PRC_0511
			
Tylosin Tartrate	3	H5	PRC_0512
D-Cycloserine	3	H6	PRC_1042
Ketoconazole	3	H7	PRC_0513
Lomefloxacin Hcl	3	H8	PRC_1043
Gliquidone	3	H9	PRC_0514
N-Benzoyl-B-Alanine	3	H10	PRC_1044
Dehydroepiandrosterone Acetate	3	H11	PRC_0515
Hydrastine	3	H12	PRC_1045
Rocuronium Bromide	3	H13	PRC_0516
Fusaric Acid	3	H14	PRC_1046
			
Dipyridamole	3	H16	PRC_1047
Atracurium Besylate	3	H17	PRC_0518
Cyclopentolate Hydrochloride	3	H18	PRC_1048
Vecuronium Bromide	3	H19	PRC_0519
Carotene	3	H20	PRC_1049
Digitoxin	3	H21	PRC_0520
D-Panthenol	3	H22	PRC_1050
Lipoic Acid, Reduced	3	I3	PRC_0921
Oxatomide	3	I4	PRC_1081
Medroxyprogesterone	3	I5	PRC_0922
Levomepromazine	3	I6	PRC_1082
Tizanidine	3	I7	PRC_0923
Benzylthiouracil	3	I8	PRC_1083
			
			
L-Phenylalanine	3	I11	PRC_0925
Floctafenine	3	I12	PRC_1085
L-Lysine	3	I13	PRC_0926
Pivmecillinam	3	I14	PRC_1086
Guanfacine Hydrochloride	3	I15	PRC_0927
Naftidrofuryl	3	I16	PRC_1087
Telenzepine Dihydrochloride	3	I17	PRC_0928
Carbutamide	3	I18	PRC_1088
Nocodazole	3	I19	PRC_0929
L-Serine	3	I20	PRC_0930
Moexipril Hydrochloride	3	I21	PRC_1090
Glibornuride	3	I22	PRC_1089
Oxiconazole Nitrate	3	J3	PRC_0521
Tiopronine	3	J4	PRC_1111
Lomerizine dihydrochloride	3	J5	PRC_0522
Lorazepam	3	J6	PRC_1112
Clarithromycin	3	J7	PRC_0523
Thiocolchicoside	3	J8	PRC_1113
			
Ethyl Loflazepate	3	J10	PRC_1114
Imipenem	3	J11	PRC_0525
Cefpodoxime Proxetil	3	J12	PRC_1115
Forskolin	3	J13	PRC_0526
Cyamemazine	3	J14	PRC_1116
Lapatinib	3	J15	PRC_0527
